Row,TrueLabel,Prediction
0,0,0
1,0,0
2,1,1
3,0,0
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,0,0
11,0,0
12,0,0
13,1,1
14,0,0
15,1,1
16,1,1
17,0,1
18,1,1
19,1,1
