Row,TrueLabel,Prediction
0,12,12.0324
1,17,17.0047
2,15,13.3395
3,27,26.9493
4,4,4.18092
5,14.5,14.5186
6,20,20.4049
7,8,8.36716
8,19,19.0978
9,9,9.15323
10,9.5,9.54626
11,25,25.1167
12,15,15.1721
13,18,17.7908
14,15.5,15.8256
